trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.corr,key_resp.rt,tilt,participant,session,date,expName,psychopyVersion,frameRate,
71,0,71,0,3751.363787600305,3752.361169199925,3752.3778599998914,down,1,0.9892405001446605,2,637592,001,2022-09-11_00h38.10.577,Orientation Discrimination task,2022.2.2,59.62268379449279,
72,0,72,0,3753.3778391000815,3754.3773425002582,3754.3773425002582,up,1,0.5306540001183748,0,637592,001,2022-09-11_00h38.10.577,Orientation Discrimination task,2022.2.2,59.62268379449279,
73,0,73,0,3754.92890729988,3755.926732600201,3755.94297860004,up,1,0.5220059999264777,0,637592,001,2022-09-11_00h38.10.577,Orientation Discrimination task,2022.2.2,59.62268379449279,
74,0,74,0,3756.476136500016,3757.4763926002197,3757.4763926002197,down,1,0.6063477001152933,-3,637592,001,2022-09-11_00h38.10.577,Orientation Discrimination task,2022.2.2,59.62268379449279,
75,0,75,0,3758.1096755000763,3759.1091656000353,3759.1091656000353,down,1,0.44071480026468635,-5,637592,001,2022-09-11_00h38.10.577,Orientation Discrimination task,2022.2.2,59.62268379449279,
76,0,76,0,3759.575962400064,3760.5753818000667,3760.5753818000667,up,1,0.637652600184083,0,637592,001,2022-09-11_00h38.10.577,Orientation Discrimination task,2022.2.2,59.62268379449279,
77,0,77,0,3761.241954599973,3762.241908600088,3762.241908600088,up,1,0.5816351003013551,0,637592,001,2022-09-11_00h38.10.577,Orientation Discrimination task,2022.2.2,59.62268379449279,
78,0,78,0,3762.8425102001056,3763.842696600128,3763.842696600128,up,1,0.48251730017364025,0,637592,001,2022-09-11_00h38.10.577,Orientation Discrimination task,2022.2.2,59.62268379449279,
79,0,79,0,3764.342517199926,3765.341181800235,3765.357918600086,up,1,0.4824118004180491,0,637592,001,2022-09-11_00h38.10.577,Orientation Discrimination task,2022.2.2,59.62268379449279,
80,0,80,0,3765.842236299999,3766.840855699964,3766.8576521999203,down,1,0.5615410003811121,-5,637592,001,2022-09-11_00h38.10.577,Orientation Discrimination task,2022.2.2,59.62268379449279,
81,0,81,0,3767.4255444998853,3768.424098600168,3768.4406571001746,down,1,0.8891893001273274,-4,637592,001,2022-09-11_00h38.10.577,Orientation Discrimination task,2022.2.2,59.62268379449279,
82,0,82,0,3769.340040900279,3770.3403278002515,3770.3403278002515,up,1,0.5401211003772914,0,637592,001,2022-09-11_00h38.10.577,Orientation Discrimination task,2022.2.2,59.62268379449279,
83,0,83,0,3770.9071488003246,3771.9062109002843,3771.9062109002843,down,1,0.5763127999380231,4,637592,001,2022-09-11_00h38.10.577,Orientation Discrimination task,2022.2.2,59.62268379449279,
84,0,84,0,3772.506336200051,3773.5062816003338,3773.5062816003338,up,0,0.6194029999896884,1,637592,001,2022-09-11_00h38.10.577,Orientation Discrimination task,2022.2.2,59.62268379449279,
